School_Name,District_Name,Chronic_Absenteeism_Rate,Dropout_0708,Dropout_0912,SAT_Avg,ACT_Avg,Teacher_Student_Ratio,Meets_GL_STD
ANGLETON J H SCHOOL,ANGLETON ISD,3.9,0,.,.,.,16,33
ANITA SCOTT EL,ROYSE CITY ISD,4.3,.,.,.,.,14.2,43
ANN BROCK EL AT OAK GROVE,BURLESON ISD,1.9,.,.,.,.,15.7,41
ANN M GARCIA-ENRIQUEZ MIDDLE,SAN ELIZARIO ISD,4,0.9,.,.,.,15.1,-1
ANN RICHARDS MIDDLE,LA JOYA ISD,9,0.4,.,.,.,13.3,.
ANN RICHARDS STEAM ACADEMY,DALLAS ISD,8.6,2.1,.,.,.,17.7,29
ANN WHITNEY EL,HAMILTON ISD,2.6,.,.,.,.,10.7,45
ANNA EDUCATION CENTER,ANNA ISD,.,.,.,.,.,13.3,.
ANNA H S,ANNA ISD,9.3,.,1.2,998,20.5,14.8,62
ANNA ISD DAEP,ANNA ISD,28.4,0,0,.,.,3.8,.
ANNA MAY DAULTON EL,MANSFIELD ISD,1.3,.,.,.,.,15.7,65
ANNA MIDDLE,ANNA ISD,5,0.4,.,.,.,15,36
ANNE FRANK EL,DALLAS ISD,4.4,.,.,.,.,18.4,38
ANNE FRANK INSPIRE ACADEMY,INSPIRE ACADEMIES,15.4,2,0.6,945,17.7,20.8,34
ANNE L MAGEE EL,EDINBURG CISD,1.8,.,.,.,.,13.6,23
ANNE MCCORMICK SULLIVAN EL,FORT BEND ISD,0.4,.,.,.,.,16.1,71
ANNETTA EL,ALEDO ISD,.,.,.,.,.,16.5,.
ANNETTE PERRY EL,MANSFIELD ISD,3.4,.,.,.,.,13.9,41
ANNIE PURL EL,GEORGETOWN ISD,8.7,.,.,.,.,11.5,18
ANNIE SIMS EL,MOUNT PLEASANT ISD,2.9,.,.,.,.,12.6,47
ANNIE WEBB BLANTON EL,DALLAS ISD,5.2,.,.,.,.,15.3,37
ANNUNCIATION MATERNITY HOME,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,-1,-1,.,.,.,1,.
ANSON EL,ANSON ISD,2,.,.,.,.,12.3,21
ANSON H S,ANSON ISD,8.5,.,1.3,1084,18.7,7.7,53
ANSON JONES EL,BRYAN ISD,2.1,.,.,.,.,13.7,31
ANSON JONES EL,DALLAS ISD,5.5,.,.,.,.,15,17
ANSON MIDDLE,ANSON ISD,2.9,0,.,.,.,8.4,33
ANTHONY EL,ANTHONY ISD,4.9,.,.,.,.,14.1,11
ANTHONY H S,ANTHONY ISD,5.6,.,1.6,-1,15,11.9,24
ANTHONY MIDDLE,ANTHONY ISD,4.4,0,.,.,.,13.3,18
ANTHONY MIDDLE,CYPRESS-FAIRBANKS ISD,4.5,0.4,.,.,.,18.2,57
ANTON SCHOOL,ANTON ISD,5.7,0,0,.,.,8.9,21
ANTONIO GONZALEZ MIDDLE,UNITED ISD,5.2,3.1,.,.,.,13.3,28
AOY EL,EL PASO ISD,9.4,.,.,.,.,11.3,28
APOLLO J H,RICHARDSON ISD,5.4,1.5,.,.,.,10.9,37
APPLE SPRINGS EL,APPLE SPRINGS ISD,1,.,.,.,.,17,22
APPLE SPRINGS H S,APPLE SPRINGS ISD,4.9,0,0,1083,.,10.3,42
APPLIED LEARNING ACAD,FORT WORTH ISD,0.6,0,.,.,.,13.7,35
AQUILLA SCHOOL,AQUILLA ISD,5.5,0,0,977,-1,11.8,54
ARABIC IMMERSION MAGNET SCHOOL,HOUSTON ISD,0.7,.,.,.,.,18,51
ARAGON MIDDLE,CYPRESS-FAIRBANKS ISD,2.7,0.1,.,.,.,17.1,59
ARANSAS PASS H S,ARANSAS PASS ISD,9.2,.,0.7,1041,-1,12.5,48
ARAPAHO CLASSICAL MAGNET,RICHARDSON ISD,1.2,.,.,.,.,13.1,60
ARBOR CREEK EL,HURST-EULESS-BEDFORD ISD,.,.,.,.,.,17,36
ARBOR CREEK MIDDLE,LEWISVILLE ISD,2.1,0.3,.,.,.,15.6,53
ARCADIA PARK EL,DALLAS ISD,1.9,.,.,.,.,15.3,32
ARCHER CITY EL,ARCHER CITY ISD,1.5,.,.,.,.,13.3,63
ARCHER CITY H S,ARCHER CITY ISD,5.2,0,0.6,1056,18.3,8.2,60
ARDEN ROAD EL,CANYON ISD,0.5,.,.,.,.,16.8,55
ARGYLE H S,ARGYLE ISD,2.6,.,0,1157,24,15.8,86
ARGYLE INT,ARGYLE ISD,0.3,.,.,.,.,13.8,63
ARGYLE MIDDLE,ARGYLE ISD,1.2,0,.,.,.,15.6,67
ARGYLE WEST,ARGYLE ISD,0.5,.,.,.,.,15.6,65
ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY,.,.,.,.,.,16,36
ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY,1.1,.,.,.,.,18,49
ARISTOI CLASSICAL UPPER SCHOOL,ARISTOI CLASSICAL ACADEMY,2.9,0,1.9,1122,26,14.2,58
ARIZONA FLEMING EL,FORT BEND ISD,3.9,.,.,.,.,12.4,30
ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,ARLINGTON CLASSICS ACADEMY,0.3,.,.,.,.,15.1,.
ARLINGTON CLASSICS ACADEMY - MIDDLE,ARLINGTON CLASSICS ACADEMY,1.8,0.9,.,.,.,15.4,48
ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,ARLINGTON CLASSICS ACADEMY,0.4,.,.,.,.,17.1,54
ARLINGTON COLLEGE AND CAREER H S,ARLINGTON ISD,1.7,.,0.4,.,.,18.1,40
ARLINGTON COLLEGIATE H S,ARLINGTON ISD,0.3,.,0,1083,20.1,23.5,67
ARLINGTON H S,ARLINGTON ISD,11,.,3.7,947,18.7,16.4,37
ARLINGTON HEIGHTS H S,FORT WORTH ISD,9.2,.,2.5,940,23,15.2,34
ARLINGTON PARK EARLY CHILDHOOD CENTER,DALLAS ISD,.,.,.,.,.,15.1,.
ARLON R SEAY EL,COMAL ISD,3.4,.,.,.,.,15,61
ARLYNE & ALAN WEBER EL,CLEAR CREEK ISD,1.9,.,.,.,.,14.3,47
ARMAND BAYOU EL,CLEAR CREEK ISD,2.5,.,.,.,.,13.6,40
ARMANDO CERNA EL,EAGLE PASS ISD,3,.,.,.,.,15.1,22
ARMANDO CHAPA MIDDLE,HAYS CISD,4.9,0.2,.,.,.,13.5,21
ARMANDO CUELLAR MIDDLE,WESLACO ISD,9.7,2.3,.,.,.,13,11
ARMENDARIZ MIDDLE,EL PASO ISD,9.7,0.6,.,.,.,14.2,12
ARMSTRONG EL,HIGHLAND PARK ISD,0.7,.,.,.,.,13.2,66
ARMSTRONG EL,CONROE ISD,0.9,.,.,.,.,14.4,19
ARMSTRONG MIDDLE,PLANO ISD,6.3,0,.,.,.,12.1,28
