School_Name,District_Name,Chronic_Absenteeism_Rate,Dropout_0708,Dropout_0912,SAT_Avg,ACT_Avg,Teacher_Student_Ratio,Meets_GL_STD
JOHN D SPICER EL,BIRDVILLE ISD,2.4,.,.,.,.,14,38
JOHN DOEDYNS EL,PHARR-SAN JUAN-ALAMO ISD,5.4,.,.,.,.,14.5,0
JOHN DRUGAN SCHOOL,SOCORRO ISD,2.9,0.6,.,.,.,15.9,-1
JOHN F KENNEDY EL,EDINBURG CISD,3.7,.,.,.,.,15.4,27
JOHN F KENNEDY EL,MERCEDES ISD,6.8,.,.,.,.,13.6,18
JOHN F KENNEDY EL,LA JOYA ISD,3.1,.,.,.,.,13.7,.
JOHN F KENNEDY H S,EDGEWOOD ISD,26.1,.,0.7,868,-1,17.4,26
JOHN F PEELER EL,DALLAS ISD,4.2,.,.,.,.,12.7,21
JOHN F WARD EL,CLEAR CREEK ISD,1.9,.,.,.,.,14.7,48
JOHN G TOWER EL,BURKBURNETT ISD,2.3,.,.,.,.,13.4,36
JOHN H REAGAN EL,DALLAS ISD,0.9,.,.,.,.,13,39
JOHN H SHARY EL,SHARYLAND ISD,1.8,.,.,.,.,16.1,38
JOHN IRELAND EL,DALLAS ISD,3.5,.,.,.,.,14.2,22
JOHN J CIAVARRA EL,DEVINE ISD,3,.,.,.,.,15.2,.
JOHN J PERSHING EL,DALLAS ISD,2.7,.,.,.,.,15,37
JOHN M TIDWELL MIDDLE,NORTHWEST ISD,2.1,0,.,.,.,17.4,53
JOHN MCKEEVER EL,PHARR-SAN JUAN-ALAMO ISD,3,.,.,.,.,7.9,9
JOHN NEELY BRYAN EL,DALLAS ISD,9.9,.,.,.,.,14.4,16
JOHN P OJEDA MIDDLE,DEL VALLE ISD,11.4,0,-1,.,.,13.4,-1
JOHN Q ADAMS EL,DALLAS ISD,4.4,.,.,.,.,16.3,16
JOHN T WHITE EL,FORT WORTH ISD,11.8,.,.,.,.,11.7,18
JOHN W AND MARGIE STIPES EL,IRVING ISD,3.1,.,.,.,.,14.5,20
JOHN W ARMSTRONG EL,GARLAND ISD,3,.,.,.,.,16.5,55
JOHN W ARNDT EL,UNITED ISD,3.6,.,.,.,.,15.4,17
JOHN W CARPENTER EL,DALLAS ISD,13.9,.,.,.,.,10.8,34
JOHN W RUNYON EL,DALLAS ISD,10.3,.,.,.,.,15.5,26
JOHN WINSHIP EL,SPRING ISD,2.1,.,.,.,.,12,31
JOHNNY N ALLEN-6TH GRADE CAMPUS,AMARILLO ISD,6.6,.,.,.,.,11.9,27
JOHNS EL,ARLINGTON ISD,3.1,.,.,.,.,15.2,10
JOHNSON COUNTY J J A E P,JOSHUA ISD,0,-1,-1,.,.,.,.
JOHNSON EL,BRYAN ISD,1.9,.,.,.,.,16.3,43
JOHNSON EL,EL PASO ISD,8.1,.,.,.,.,11.6,10
JOHNSON EL,ALDINE ISD,4,.,.,.,.,17,14
JOHNSON EL,FORNEY ISD,4.4,.,.,.,.,16.2,51
JOHNSON H S,NORTH EAST ISD,5.2,.,0.8,1124,24.2,19.8,83
JOHNSON RANCH EL,COMAL ISD,1,.,.,.,.,16.9,63
JOHNSTON EL,IRVING ISD,4.8,.,.,.,.,15.4,18
JOHNSTON-MCQUEEN EL,LONGVIEW ISD,5.4,.,.,.,.,11,39
JOLLYVILLE EL,ROUND ROCK ISD,9,.,.,.,.,12.4,41
JONES EC/PK/K,ALDINE ISD,.,.,.,.,.,16.2,.
JONES EL,ALDINE ISD,4.9,.,.,.,.,17.5,23
JONES EL,MIDLAND ISD,9.5,.,.,.,.,12.5,26
JONES EL,CORPUS CHRISTI ISD,3.6,.,.,.,.,15.1,47
JONES EL,TYLER ISD,5,.,.,.,.,13.8,30
JONES ELEMENTARY/INTERMEDIATE SCHOOL,BRACKETT ISD,2.8,.,.,.,.,10.9,40
JONES FINE ARTS / DUAL LANGUAGE ACADEMY,ARLINGTON ISD,2.4,.,.,.,.,11.7,33
JONES FUTURES ACADEMY,HOUSTON ISD,9.9,.,1.2,899,-1,12.2,90
JONES MIDDLE,NORTHSIDE ISD,16.2,0.7,.,.,.,13.8,29
JONES MIDDLE,ALDINE ISD,6.6,0.9,.,.,.,17.2,24
JONESBORO SCHOOL,JONESBORO ISD,5.8,0,0,.,-1,13.3,30
JORDAN EL,AUSTIN ISD,7.1,.,.,.,.,12.3,18
JORDAN H S,KATY ISD,.,.,0.1,.,.,16.5,86
JORDAN MIDDLE,NORTHSIDE ISD,7.7,0.6,.,.,.,15.5,33
JORGE R GUTIERREZ EARLY CHILDHOOD CENTER,EDCOUCH-ELSA ISD,.,.,.,.,.,17,.
JOSE ANTONIO NAVARRO EL,CORSICANA ISD,5.3,.,.,.,.,14.7,25
JOSE BERNABE MUNOZ EL,LA VILLA ISD,3.6,.,.,.,.,14,26
JOSE BORREGO MIDDLE,MONTE ALTO ISD,4.3,0.6,.,.,.,11.7,6
JOSE DE ESCANDON EL,LA JOYA ISD,2.4,.,.,.,.,14.7,.
JOSE DE JESUS AND MARIA LUISA VEGA EL,MCKINNEY ISD,2.9,.,.,.,.,11,39
JOSE H DAMIAN EL,CANUTILLO ISD,3.1,.,.,.,.,14.4,34
JOSE J ALDERETE MIDDLE,CANUTILLO ISD,2.1,0,.,.,.,15.2,42
JOSE 'JOE' MAY EL,DALLAS ISD,9.6,.,.,.,.,16.6,26
JOSEFA L SAMBRANO EL,SAN ELIZARIO ISD,2.6,.,.,.,.,18.5,.
JOSEPH GILBERT EL,DEL VALLE ISD,4.6,.,.,.,.,13.8,18
JOSEPH J RHOADS LEARNING CENTER,DALLAS ISD,8,.,.,.,.,15.8,13
JOSHUA H S,JOSHUA ISD,10.6,.,0.4,965,21.1,12.6,62
JOSHUA H S NINTH GRADE CAMPUS,JOSHUA ISD,6.1,.,0,.,.,15.6,67
JOSLIN EL,AUSTIN ISD,.,.,.,.,.,9.1,22
JOURDANTON DAEP,JOURDANTON ISD,15,-1,0,.,.,5.8,.
JOURDANTON ECC,JOURDANTON ISD,.,.,.,.,.,16.6,.
JOURDANTON EL,JOURDANTON ISD,3.5,.,.,.,.,13.3,39
JOURDANTON H S,JOURDANTON ISD,8.1,.,0.4,1006,20.5,11.4,67
JOURDANTON J H,JOURDANTON ISD,4.1,1.2,.,.,.,15.7,40
JOWELL EL,CYPRESS-FAIRBANKS ISD,3.2,.,.,.,.,13.1,29
JOY JAMES EL,CASTLEBERRY ISD,5,.,.,.,.,12.9,28
JP DABBS EL,DEER PARK ISD,3.8,.,.,.,.,14,39
JT BRACKENRIDGE DAEP,SAN ANTONIO ISD,23.1,.,.,.,.,6.3,.
JUAN DE DIOS SALINAS MIDDLE,LA JOYA ISD,6,0.5,.,.,.,12.5,4
JUAN N SEGUIN EL,GRAND PRAIRIE ISD,4.2,.,.,.,.,11.4,18
JUAN N SEGUIN EL,EAGLE PASS ISD,12.3,.,.,.,.,15.2,20
JUAN SEGUIN EARLY CHILDHOOD CENTER,LAMAR CISD,.,.,.,.,.,16,.
JUAN SEGUIN EL,FORT BEND ISD,1.9,.,.,.,.,16.1,37
JUAN SEGUIN EL,LA JOYA ISD,1.2,.,.,.,.,15.4,.
JUAREZ/LINCOLN EL,UNITED ISD,4.9,.,.,.,.,13.7,15
JUAREZ-LINCOLN H S,LA JOYA ISD,29.2,.,5.6,-1,17.5,13,22
JUBILEE - LAKE VIEW UNIVERSITY PREP,JUBILEE ACADEMIES,16.4,0,2.7,755,.,17.2,10
JUBILEE ACADEMIES MIDDLE,JUBILEE ACADEMIES,20.2,1.3,.,.,.,18.4,14
JUBILEE BROWNSVILLE,JUBILEE ACADEMIES,3.9,1.4,1.3,878,-1,21,22
JUBILEE HARLINGEN,JUBILEE ACADEMIES,3,1.5,.,.,.,18.3,22
JUBILEE HIGHLAND HILLS,JUBILEE ACADEMIES,9.4,2.7,.,.,.,15.9,15
JUBILEE HIGHLAND PARK,JUBILEE ACADEMIES,5.9,1.5,.,.,.,12.8,15
JUBILEE KINGSVILLE,JUBILEE ACADEMIES,6.5,0,.,.,.,18.9,10
JUBILEE LEADERSHIP ACADEMY,JUBILEE ACADEMIES,8.7,.,.,.,.,17.9,19
JUBILEE LIVING WAY,JUBILEE ACADEMIES,0.4,.,.,.,.,15.5,30
JUBILEE SAN ANTONIO,JUBILEE ACADEMIES,5.9,0.5,2.3,750,.,18.7,12
JUBILEE SENDERO,JUBILEE ACADEMIES,0,.,.,.,.,12.7,19
JUBILEE WELLS BRANCH,JUBILEE ACADEMIES,3.8,4.1,3.6,.,.,14.5,21
JUBILEE WESTWOOD,JUBILEE ACADEMIES,7.9,.,.,.,.,17.7,11
JUDGE BAREFOOT SANDERS LAW MAGNET,DALLAS ISD,1.1,.,0.2,1097,23.5,18,89
JUDGE JAMES C ADOLPHUS EL,LAMAR CISD,1,.,.,.,.,16.2,62
JUDGE OSCAR DE LA FUENTE EL,SAN BENITO CISD,5.5,.,.,.,.,14.5,0
JUDITH A RESNIK MIDDLE,SOUTHWEST ISD,12.9,0.3,.,.,.,14.9,18
JUDITH L HARLOW EL,ANNA ISD,2.9,.,.,.,.,16,41
JUDITH ZAFFIRINI EL,UNITED ISD,3.1,.,.,.,.,14.9,35
JUDSON CARE ACADEMY,JUDSON ISD,35.5,0,0,.,.,8,.
JUDSON EARLY COLLEGE ACADEMY,JUDSON ISD,1.1,.,0,1110,21.6,18,67
JUDSON H S,JUDSON ISD,15.2,.,4.8,902,16,15.4,44
JUDSON LEARNING ACAD,JUDSON ISD,.,.,11.8,-1,.,26.5,-1
JUDSON MIDDLE,JUDSON ISD,5.7,1,.,.,.,15.4,26
JUDSON STEAM ACADEMY,LONGVIEW ISD,6.4,0,.,.,.,10.8,42
JUDY HAJEK EL,BURLESON ISD,1.6,.,.,.,.,14.7,58
JUDY MILLER EL,MANSFIELD ISD,1.8,.,.,.,.,14.3,48
JUDY RUCKER EL,PROSPER ISD,0.2,.,.,.,.,14.6,45
JULIA BIRD JONES MULLER EL,UNITED ISD,1,.,.,.,.,15.8,31
JULIAN C GALLARDO EL,SOUTHSIDE ISD,9.5,.,.,.,.,12.9,17
JULIAN S ADAME,DONNA ISD,3.7,.,.,.,.,17.2,19
JULIAN T SALDIVAR EL,DALLAS ISD,3.7,.,.,.,.,17.1,26
JULIUS DORSEY EL,DALLAS ISD,5.7,.,.,.,.,14.4,55
JULIUS L MATTHEY MIDDLE,SOUTHSIDE ISD,11.4,2.1,.,.,.,13.2,25
JUNCTION EL,JUNCTION ISD,2.3,.,.,.,.,13,22
JUNCTION H S,JUNCTION ISD,4.5,.,0,937,18.2,10.2,65
JUNCTION MIDDLE,JUNCTION ISD,2.2,0,.,.,.,10.7,29
JUNE W DAVIS EL,CROWLEY ISD,3.3,.,.,.,.,16,27
JUSTIN EL,NORTHWEST ISD,2.1,.,.,.,.,15.9,41
JUSTIN F KIMBALL H S,DALLAS ISD,29.1,.,7.2,835,13.9,16.1,26
JUSTISS EL,PARIS ISD,5.4,.,.,.,.,11.3,26
JUVENILE DETENT CTR,LUFKIN ISD,0,0,2.5,.,.,9,.
JUVENILE DETENT CTR,SAN ANTONIO ISD,0,19,10.1,.,.,6.4,.
JUVENILE DETENT CTR,LAMAR CISD,0,-1,19,.,.,7.3,.
JUVENILE DETENT CTR,LONGVIEW ISD,0,.,-1,.,.,11.5,.
JUVENILE DETENTION CENTER,SEGUIN ISD,0,21.4,23.3,.,.,3.2,-1
JUVENILE DETENTION CENTER,ABILENE ISD,4.2,0,0,.,.,4.5,.
JUVENILE DETENTION CTR,EDINBURG CISD,0,-1,0,.,.,4.7,.
JUVENILE DETENTION CTR,CONROE ISD,0,-1,0,.,.,5.6,.
JUVENILE DETENTION CTR,SINTON ISD,-1,-1,-1,.,.,6,.
JUVENILE JUSTICE AEP,DALLAS ISD,43.8,-1,-1,.,.,.,.
JUVENILE JUSTICE AEP,GALENA PARK ISD,0,.,-1,.,.,.,.
JUVENILE JUSTICE ALTERNATIVE,ALVARADO ISD,0,-1,-1,.,.,.,.
JUVENILE JUSTICE ALTERNATIVE ED PROGRAM,FORT WORTH ISD,14.5,0,0,.,.,2.9,.
JUVENILE JUSTICE ALTERNATIVE ED PROGRAM/VENUS,VENUS ISD,.,.,-1,.,.,.,.
JUVENILE JUSTICE ALTERNATIVE EDUCATION PROGRAM,SPLENDORA ISD,-1,.,-1,.,.,.,.
JUVENILLE JUSTICE ALTERNATIVE PROGRAM,UNITED ISD,39.3,.,0,.,.,-2,.
K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED,DALLAS ISD,6.6,.,.,.,.,13.7,27
K E KAUFMAN ALTERNATIVE EDUCATION CENTER,KLEIN ISD,33,0,0,.,.,3.9,-1
KAFFIE MIDDLE,CORPUS CHRISTI ISD,4.3,0.2,.,.,.,19,41
KAHLA MIDDLE,CYPRESS-FAIRBANKS ISD,6,1.1,.,.,.,14.2,36
KAISER EL,KLEIN ISD,4.8,.,.,.,.,11.5,21
KALLISON EL,NORTHSIDE ISD,2.6,.,.,.,.,17.1,39
KAREN WAGNER H S,JUDSON ISD,17.7,.,3.8,885,22.3,13.5,33
KARNES CITY H S,KARNES CITY ISD,8.2,.,15.7,1047,21.1,11.6,52
KARNES CITY J H,KARNES CITY ISD,5.4,11.3,.,.,.,10.9,42
KARNES CITY PRI,KARNES CITY ISD,2.6,.,.,.,.,13.3,.
KASE ACADEMY,SHELDON ISD,66.7,.,9.6,.,.,10.8,.
KASHMERE GARDENS EL,HOUSTON ISD,13.7,.,.,.,.,16.5,7
KASHMERE H S,HOUSTON ISD,35.8,.,9.4,815,.,14.7,18
KATHERINE ANNE PORTER SCHOOL,KATHERINE ANNE PORTER SCHOOL,24.9,.,16.7,1128,-1,6.2,55
KATHERINE G JOHNSON STEM ACADEMY,GREENVILLE ISD,4.7,.,.,.,.,15.4,26
KATHERINE JOHNSON TECHNOLOGY MAGNET ACADEMY,DESOTO ISD,0.8,0,.,.,.,14.4,49
KATHERINE STEPHENS EL,GARLAND ISD,6.9,.,.,.,.,14.9,26
KATHLEEN JOERGER LINDSEY EL,LAMAR CISD,1,.,.,.,.,15.2,49
KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,DALLAS ISD,1.6,.,0,994,19.1,17.7,59
KATHRYN GRIFFIS EL,CADDO MILLS ISD,1,.,.,.,.,13.1,60
KATHY CARAWAY EL,ROUND ROCK ISD,2.1,.,.,.,.,13.1,51
KATY EL,KATY ISD,1.4,.,.,.,.,13.3,58
KATY H S,KATY ISD,7.3,.,1.4,1037,23.9,15.3,78
KATY J H,KATY ISD,2.8,0.1,.,.,.,14.1,49
KAUFER H S,RIVIERA ISD,7.8,0,0,879,-1,11.4,45
KAUFMAN EL,CONROE ISD,1.9,.,.,.,.,15.8,59
KAUFMAN H S,KAUFMAN ISD,12.3,.,0.2,1005,20.3,15.4,54
KAY GRANGER EL,NORTHWEST ISD,1.7,.,.,.,.,15.6,58
KAZEN EL,UNITED ISD,1.5,.,.,.,.,14.4,47
KEALING M S,AUSTIN ISD,4.6,0.1,.,.,.,16.8,31
KEEBLE EC/PK/K,ALDINE ISD,.,.,.,.,.,16.1,.
KEEFER CROSSING MIDDLE,NEW CANEY ISD,7.1,0.6,.,.,.,16.5,33
KEELEY EL,GARLAND ISD,3,.,.,.,.,16.5,48
KEENAN EL,MONTGOMERY ISD,2.2,.,.,.,.,16.6,62
KEENE EL,KEENE ISD,4.1,.,.,.,.,11.9,40
KEENE H S,KEENE ISD,7.7,.,0.6,1047,21.8,10,61
KEENE J H,KEENE ISD,6.8,0,.,.,.,9.8,37
KEIKO DAVIDSON EL,KATY ISD,1.4,.,.,.,.,14.1,55
KEITH EL,CYPRESS-FAIRBANKS ISD,1,.,.,.,.,17.1,57
KELLER COLLEGIATE ACADEMY,KELLER ISD,.,.,.,.,.,9.7,.
KELLER EARLY LEARNING CENTER - NORTH,KELLER ISD,.,.,.,.,.,9.5,.
KELLER EARLY LEARNING CENTER - SOUTH,KELLER ISD,.,.,.,.,.,9.5,.
KELLER EL,BROWNSVILLE ISD,3.2,.,.,.,.,16.2,29
KELLER H S,KELLER ISD,5,.,0.4,1166,24.2,17,83
KELLER LEARNING CENTER,KELLER ISD,23,.,14.8,-1,-1,4.2,54
KELLER MIDDLE,PASADENA ISD,7,.,.,.,.,12.3,17
KELLER MIDDLE,KELLER ISD,3.3,0.1,.,.,.,14.8,66
KELLER-HARVEL EL,KELLER ISD,2.3,.,.,.,.,14.3,53
KELLEY EL,DENVER CITY ISD,1,.,.,.,.,11.8,33
KELLY LANE MIDDLE,PFLUGERVILLE ISD,2.2,1,.,.,.,17,49
KELLY-PHARR EL,PHARR-SAN JUAN-ALAMO ISD,2.1,.,.,.,.,16,24
KELSO EL,HOUSTON ISD,7.5,.,.,.,.,16.2,16
KELTON SCHOOL,KELTON ISD,1.3,0,0,.,-1,8.3,42
KEMP ALTERNATIVE,KEMP ISD,48.7,.,2.8,.,.,4,28
KEMP H S,KEMP ISD,14.9,.,1.4,955,19.6,10.4,43
KEMP INT,KEMP ISD,4,.,.,.,.,12.7,37
KEMP J H,KEMP ISD,9.6,2,.,.,.,14.1,27
KEMP PRI,KEMP ISD,7.7,.,.,.,.,14,.
KEMP-CARVER EL,BRYAN ISD,2,.,.,.,.,12.5,21
KEMPNER H S,FORT BEND ISD,6.4,.,1.7,1032,21.6,16.8,46
KENDALL EL,BOERNE ISD,2.1,.,.,.,.,14.8,58
KENDRICK EL,WACO ISD,2.8,.,.,.,.,14.2,17
KENEDY EL,KENEDY ISD,8.1,.,.,.,.,13,22
KENEDY H S,KENEDY ISD,14.2,.,2.3,.,16.1,9.7,43
KENEDY MIDDLE,KENEDY ISD,5.2,0,.,.,.,13,26
KENNARD ISD,KENNARD ISD,5.8,0,0,1022,.,11.1,37
KENNEDALE H S,KENNEDALE ISD,7.8,.,0.4,1006,22.9,15.5,53
KENNEDALE J H,KENNEDALE ISD,3.1,0.2,.,.,.,14.2,30
KENNEDY EL,ALIEF ISD,5.6,.,.,.,.,11.4,20
KENNEDY EL,HOUSTON ISD,6.4,.,.,.,.,15.4,18
KENNEDY EL,EDCOUCH-ELSA ISD,3.4,.,.,.,.,12.4,25
KENNEDY EL,EAGLE PASS ISD,.,.,.,.,.,17.7,.
KENNEDY EL,WEST OSO ISD,5.4,.,.,.,.,12.8,.
KENNEDY MIDDLE,PHARR-SAN JUAN-ALAMO ISD,7,0,-1,.,.,10.8,18
KENNEDY ZAPATA EL,UNITED ISD,4.7,.,.,.,.,12.8,26
KENNEDY-CURRY MIDDLE,DALLAS ISD,8.8,4.3,.,.,.,13.6,30
KENNEDY-POWELL EL,TEMPLE ISD,3.9,.,.,.,.,16.7,39
KENNETH DAVIS EL,MANSFIELD ISD,4.4,.,.,.,.,10.8,35
KENNETH E LITTLE EL,DICKINSON ISD,8.4,.,.,.,.,14.2,27
KENT EL,CARROLLTON-FARMERS BRANCH ISD,3.3,.,.,.,.,13.2,51
KENTWOOD EL,BIG SPRING ISD,.,.,.,.,.,12.6,.
KERENS SCHOOL,KERENS ISD,6.3,0,0,914,-1,10.3,36
KERMIT EL,KERMIT ISD,10.5,.,.,.,.,16.4,28
KERMIT H S,KERMIT ISD,16.5,.,0,-1,15.9,12,40
KERMIT J H,KERMIT ISD,7.5,0,.,.,.,14.6,27
KERR EL,ALLEN ISD,0.6,.,.,.,.,15.9,60
KERR H S,ALIEF ISD,1,.,0.1,1176,-1,19.6,77
KETELSEN EL,HOUSTON ISD,2.7,.,.,.,.,16.4,26
KEY EL,ARLINGTON ISD,4.2,.,.,.,.,12.7,26
KEY MIDDLE,HOUSTON ISD,17.1,6.2,.,.,.,15.4,19
KEYES EL,IRVING ISD,3.2,.,.,.,.,14.9,18
KEYS ACAD,SOCORRO ISD,20.3,0,0,.,.,6.1,.
KEYS EL,SOCORRO ISD,14.3,.,.,.,.,2,.
KEYS H S,HURST-EULESS-BEDFORD ISD,43.9,.,3.2,-1,.,4.7,57
KI CHARTER - DESOTO,KI CHARTER ACADEMY,.,.,.,.,.,2.8,.
KI CHARTER ACADEMY,KI CHARTER ACADEMY,2.4,23.1,3.4,.,.,10,.
KI CHARTER ACADEMY LIBERTY HILL,KI CHARTER ACADEMY,.,0,0,.,.,5.9,.
KIDWELL EL,IOWA PARK CISD,0.7,.,.,.,.,15.6,.
KIKER EL,AUSTIN ISD,2.5,.,.,.,.,14.9,64
KILGORE H S,KILGORE ISD,8.3,.,2.4,958,18.7,15,50
KILGORE INT,KILGORE ISD,3.8,.,.,.,.,13.8,33
KILGORE MIDDLE,KILGORE ISD,4.9,0.4,.,.,.,16.4,35
KILGORE PRI,KILGORE ISD,5.3,.,.,.,.,13.2,.
KILLEEN EL,KILLEEN ISD,.,.,.,.,.,17.1,.
KILLEEN H S,KILLEEN ISD,16.9,.,3,965,21.5,17.7,47
KILLEEN ISD EARLY COLLEGE H S,KILLEEN ISD,2.7,.,0.2,1069,20.8,19.9,81
KILLEEN JJAEP,KILLEEN ISD,-1,-1,-1,.,.,.,.
KILLIAN MIDDLE,LEWISVILLE ISD,1.1,0.4,.,.,.,16,54
KILLOUGH MIDDLE,ALIEF ISD,8.5,0.3,-1,.,.,12,33
KIMBALL EL,MESQUITE ISD,1.2,.,.,.,.,11.7,41
KIMBERLIN ACAD FOR EXCEL,GARLAND ISD,0.5,.,.,.,.,14.6,76
KIMBROUGH MIDDLE,MESQUITE ISD,4.3,0.3,.,.,.,15.4,44
KIMMIE M BROWN EL,DAYTON ISD,5.4,.,.,.,.,15.1,23
KINDER H S FOR PERFORMING AND VISUAL ARTS,HOUSTON ISD,2.9,.,0.3,1251,29.2,16.4,91
KINDER RANCH EL,COMAL ISD,1.1,.,.,.,.,15.2,56
KINDRED EL,SOUTH SAN ANTONIO ISD,12.2,.,.,.,.,16.7,9
KING EARLY CHILDHOOD CTR,HOUSTON ISD,.,.,.,.,.,18.4,.
KING H S,CORPUS CHRISTI ISD,12.5,.,1.7,962,20,16.4,38
KINGS MANOR EL,NEW CANEY ISD,2.4,.,.,.,.,17.7,40
KINGSBOROUGH MIDDLE,HARLANDALE ISD,11.2,1.4,.,.,.,11.5,23
KINGSLAND SCHOOL,ORENDA CHARTER SCHOOL,9.7,0,0,.,.,12.8,33
KINGWOOD H S,HUMBLE ISD,5.4,.,0.5,1107,25.4,17.7,79
KINGWOOD MIDDLE,HUMBLE ISD,3.7,0.1,.,.,.,14.9,41
KINGWOOD PARK H S,HUMBLE ISD,7.2,.,0.6,1029,23.8,13.6,68
KINKEADE EARLY CHILDHOOD,IRVING ISD,.,.,.,.,.,15.2,.
KIPP 3D ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,2.1,0.4,.,.,.,26.4,31
KIPP ACADEMY MIDDLE,KIPP TEXAS PUBLIC SCHOOLS,0.9,0,.,.,.,29.7,47
KIPP ACADEMY WEST MIDDLE,KIPP TEXAS PUBLIC SCHOOLS,1.6,0.4,.,.,.,24.7,37
KIPP ALEGRIA PRI,KIPP TEXAS PUBLIC SCHOOLS,1.6,.,.,.,.,19.9,13
KIPP ASPIRE ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,6.8,1.8,.,.,.,27.8,20
KIPP AUSTIN ACADEMY OF ARTS & LETTERS,KIPP TEXAS PUBLIC SCHOOLS,1.5,0,.,.,.,24.9,30
KIPP AUSTIN BEACON PREP,KIPP TEXAS PUBLIC SCHOOLS,1.5,0,.,.,.,18.3,25
KIPP AUSTIN BRAVE,KIPP TEXAS PUBLIC SCHOOLS,8.1,.,1.4,.,17.7,15.5,13
KIPP AUSTIN COLLEGE PREP,KIPP TEXAS PUBLIC SCHOOLS,1.3,0,.,.,.,25.1,20
KIPP AUSTIN COLLEGIATE,KIPP TEXAS PUBLIC SCHOOLS,4.8,.,0.3,-1,19.1,14.2,44
KIPP AUSTIN COMUNIDAD,KIPP TEXAS PUBLIC SCHOOLS,2.3,.,.,.,.,20.6,26
KIPP AUSTIN OBRAS,KIPP TEXAS PUBLIC SCHOOLS,1,.,.,.,.,16.6,8
KIPP AUSTIN VISTA MIDDLE SCHOOLS,KIPP TEXAS PUBLIC SCHOOLS,5.1,0.4,.,.,.,21.9,24
KIPP CAMINO ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,9.4,3.1,.,.,.,25.4,15
KIPP CLIMB ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,4.9,.,.,.,.,23.2,19
KIPP CONNECT H S,KIPP TEXAS PUBLIC SCHOOLS,2.9,.,0.9,.,.,17.4,.
KIPP CONNECT HOUSTON PRI,KIPP TEXAS PUBLIC SCHOOLS,0.6,.,.,.,.,24.6,47
KIPP CONNECT MIDDLE,KIPP TEXAS PUBLIC SCHOOLS,0.7,0.5,.,.,.,27.4,32
KIPP DESTINY EL,KIPP TEXAS PUBLIC SCHOOLS,6.2,.,.,.,.,20,10
KIPP DESTINY MIDDLE,KIPP TEXAS PUBLIC SCHOOLS,6.4,2.6,.,.,.,17.5,14
KIPP DREAM PREP,KIPP TEXAS PUBLIC SCHOOLS,0.9,.,.,.,.,25.6,18
KIPP EAST END H S,KIPP TEXAS PUBLIC SCHOOLS,.,.,0,.,.,18.6,51
KIPP ESPERANZA PRI,KIPP TEXAS PUBLIC SCHOOLS,6.5,.,.,.,.,20.5,14
KIPP EXPLORE ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,1.4,.,.,.,.,21.4,22
KIPP GENERATIONS COLLEGIATE,KIPP TEXAS PUBLIC SCHOOLS,7.9,.,0.8,930,18.1,14.1,48
KIPP HOUSTON H S,KIPP TEXAS PUBLIC SCHOOLS,1.6,.,0.6,985,19.1,16.8,67
KIPP INTREPID PREPARATORY,KIPP TEXAS PUBLIC SCHOOLS,0.7,0,.,.,.,24.3,26
KIPP JOURNEY COLLEGIATE SCHOOL,KIPP TEXAS PUBLIC SCHOOLS,8.3,0.7,.,.,.,29.8,36
KIPP JOURNEY PRI,KIPP TEXAS PUBLIC SCHOOLS,4,.,.,.,.,25.6,.
KIPP LEGACY PREPARATORY,KIPP TEXAS PUBLIC SCHOOLS,2.8,.,.,.,.,21.1,12
KIPP LIBERATION COLLEGE PREPARATORY,KIPP TEXAS PUBLIC SCHOOLS,5,0,.,.,.,30.9,17
KIPP MOSAIC ACADEMY SCHOOL,KIPP TEXAS PUBLIC SCHOOLS,.,.,.,.,.,27.5,25
KIPP MOSAIC PRI,KIPP TEXAS PUBLIC SCHOOLS,.,.,.,.,.,23.3,.
KIPP NEXUS MIDDLE,KIPP TEXAS PUBLIC SCHOOLS,6,0.4,.,.,.,27.6,23
KIPP NEXUS PRI,KIPP TEXAS PUBLIC SCHOOLS,4.9,.,.,.,.,20.1,10
KIPP NORTHEAST COLLEGE PREPARATORY,KIPP TEXAS PUBLIC SCHOOLS,14.7,.,1.6,-1,17.9,16.5,32
KIPP OAK CLIFF ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,8,.,3.7,.,.,11.8,36
KIPP PASEO PREPARATORY SCHOOL,KIPP TEXAS PUBLIC SCHOOLS,.,.,.,.,.,18.2,22
KIPP PASEO PRI,KIPP TEXAS PUBLIC SCHOOLS,.,.,.,.,.,15.6,.
KIPP PEACE EL,KIPP TEXAS PUBLIC SCHOOLS,5.3,.,.,.,.,22.2,16
KIPP PLEASANT GROVE LEADERSHIP ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,5.4,2.7,.,.,.,20.6,13
KIPP PLEASANT GROVE PRI,KIPP TEXAS PUBLIC SCHOOLS,3.9,.,.,.,.,21.1,7
KIPP PODER ACADEMY,KIPP TEXAS PUBLIC SCHOOLS,8.4,2,.,.,.,18.6,29
